threshold,accuracy,precision,recall,f1,macro_f1,minority_recall,roc_auc,validation_rank,candidate,architecture,strategy,artifact_path
0.595,0.9153153153153153,0.68,0.9239130434782609,0.783410138248848,0.8653892796507398,0.9239130434782609,0.9545262465959244,1,FTTransformer|Weighted BCE,FTTransformer,Weighted BCE,../models/dl/best_dl_model.pt
0.6399999999999999,0.9135135135135135,0.680327868852459,0.9021739130434783,0.7757009345794392,0.8610647530040053,0.9021739130434783,0.9526716123579679,2,FTTransformer|BCE + Label Smoothing,FTTransformer,BCE + Label Smoothing,
0.84,0.9153153153153153,0.6771653543307087,0.9347826086956522,0.7853881278538812,0.8663192042187475,0.9347826086956522,0.9519673208751995,3,FTTransformer|Weighted BCE + Label Smoothing,FTTransformer,Weighted BCE + Label Smoothing,
0.695,0.9099099099099099,0.6810344827586207,0.8586956521739131,0.7596153846153846,0.8520915060549207,0.8586956521739131,0.9559348295614613,4,FTTransformer|Focal Loss,FTTransformer,Focal Loss,
0.725,0.9153153153153153,0.6829268292682927,0.9130434782608695,0.7813953488372093,0.8644406911783812,0.9130434782608695,0.9559583059442202,5,FTTransformer|Focal Loss + Label Smoothing,FTTransformer,Focal Loss + Label Smoothing,
0.6449999999999999,0.9135135135135135,0.6746031746031746,0.9239130434782609,0.7798165137614679,0.8630024272843213,0.9239130434782609,0.952202084702789,6,FTTransformer|BCE,FTTransformer,BCE,
0.33999999999999997,0.8936936936936937,0.6363636363636364,0.8369565217391305,0.7230046948356808,0.8286149449652205,0.8369565217391305,0.941661188844023,7,MLP|BCE,MLP,BCE,
0.61,0.8972972972972973,0.6470588235294118,0.8369565217391305,0.7298578199052133,0.8332270189626177,0.8369565217391305,0.9419898582026481,8,MLP|Weighted BCE + Label Smoothing,MLP,Weighted BCE + Label Smoothing,
0.6499999999999999,0.8936936936936937,0.6486486486486487,0.782608695652174,0.7093596059113301,0.8221549958994356,0.782608695652174,0.9450417879613109,9,MLP|Focal Loss + Label Smoothing,MLP,Focal Loss + Label Smoothing,
0.6399999999999999,0.9009009009009009,0.6528925619834711,0.8586956521739131,0.7417840375586855,0.8402342707302903,0.8586956521739131,0.9452295990233825,10,MLP|Focal Loss,MLP,Focal Loss,
0.595,0.8972972972972973,0.6470588235294118,0.8369565217391305,0.7298578199052133,0.8332270189626177,0.8369565217391305,0.9443140200957836,11,MLP|Weighted BCE,MLP,Weighted BCE,
0.37499999999999994,0.8900900900900901,0.6220472440944882,0.8586956521739131,0.7214611872146118,0.8264993927094384,0.8586956521739131,0.9408395154474599,12,MLP|BCE + Label Smoothing,MLP,BCE + Label Smoothing,
