combined_persona,n,pct
Light / Rested Users | Healthy Lifestyle Users | Moderately Social Users | Low Stress Users,679,0.18351351351351353
Light / Rested Users | Healthy Lifestyle Users | Socially Isolated Users | Low Stress Users,442,0.11945945945945946
Heavy Daytime Social Media Users | Lifestyle Risk Users | Low Activity Moderate Social Users | High Stress Users,435,0.11756756756756757
Heavy Night Social Media Users | Lifestyle Risk Users | Low Activity Moderate Social Users | High Stress Users,400,0.10810810810810811
Heavy Daytime Social Media Users | Lifestyle Risk Users | Socially Isolated Users | High Stress Users,255,0.06891891891891892
Heavy Night Social Media Users | Lifestyle Risk Users | Socially Isolated Users | High Stress Users,249,0.0672972972972973
Light / Rested Users | Healthy Lifestyle Users | Low Activity Moderate Social Users | Low Stress Users,166,0.044864864864864865
Heavy Night Social Media Users | Lifestyle Risk Users | Moderately Social Users | High Stress Users,118,0.03189189189189189
Heavy Night Social Media Users | Healthy Lifestyle Users | Moderately Social Users | Low Stress Users,81,0.02189189189189189
Heavy Daytime Social Media Users | Lifestyle Risk Users | Moderately Social Users | High Stress Users,68,0.018378378378378378
Heavy Daytime Social Media Users | Healthy Lifestyle Users | Moderately Social Users | Low Stress Users,63,0.017027027027027027
Heavy Daytime Social Media Users | Healthy Lifestyle Users | Low Activity Moderate Social Users | Low Stress Users,62,0.016756756756756756
Heavy Daytime Social Media Users | Healthy Lifestyle Users | Low Activity Moderate Social Users | High Stress Users,61,0.016486486486486488
Heavy Night Social Media Users | Healthy Lifestyle Users | Socially Isolated Users | Low Stress Users,59,0.015945945945945946
Heavy Daytime Social Media Users | Healthy Lifestyle Users | Socially Isolated Users | Low Stress Users,56,0.015135135135135135
Heavy Night Social Media Users | Lifestyle Risk Users | Socially Isolated Users | Low Stress Users,50,0.013513513513513514
Heavy Daytime Social Media Users | Healthy Lifestyle Users | Socially Isolated Users | High Stress Users,46,0.012432432432432432
Heavy Night Social Media Users | Lifestyle Risk Users | Low Activity Moderate Social Users | Low Stress Users,45,0.012162162162162163
Heavy Night Social Media Users | Lifestyle Risk Users | Moderately Social Users | Low Stress Users,42,0.011351351351351352
Heavy Night Social Media Users | Healthy Lifestyle Users | Low Activity Moderate Social Users | Low Stress Users,33,0.00891891891891892
Light / Rested Users | Healthy Lifestyle Users | Moderately Social Users | High Stress Users,29,0.007837837837837838
Heavy Daytime Social Media Users | Healthy Lifestyle Users | Moderately Social Users | High Stress Users,29,0.007837837837837838
Heavy Daytime Social Media Users | Lifestyle Risk Users | Socially Isolated Users | Low Stress Users,28,0.0075675675675675675
Light / Rested Users | Healthy Lifestyle Users | Socially Isolated Users | High Stress Users,25,0.006756756756756757
Heavy Night Social Media Users | Healthy Lifestyle Users | Socially Isolated Users | High Stress Users,25,0.006756756756756757
Heavy Daytime Social Media Users | Lifestyle Risk Users | Low Activity Moderate Social Users | Low Stress Users,24,0.006486486486486486
Heavy Night Social Media Users | Healthy Lifestyle Users | Moderately Social Users | High Stress Users,20,0.005405405405405406
Light / Rested Users | Lifestyle Risk Users | Low Activity Moderate Social Users | Low Stress Users,20,0.005405405405405406
Light / Rested Users | Healthy Lifestyle Users | Low Activity Moderate Social Users | High Stress Users,18,0.004864864864864865
Heavy Night Social Media Users | Healthy Lifestyle Users | Low Activity Moderate Social Users | High Stress Users,17,0.0045945945945945945
Heavy Daytime Social Media Users | Lifestyle Risk Users | Moderately Social Users | Low Stress Users,17,0.0045945945945945945
Light / Rested Users | Lifestyle Risk Users | Socially Isolated Users | Low Stress Users,10,0.002702702702702703
Light / Rested Users | Lifestyle Risk Users | Low Activity Moderate Social Users | High Stress Users,8,0.002162162162162162
Light / Rested Users | Lifestyle Risk Users | Moderately Social Users | Low Stress Users,7,0.0018918918918918919
Light / Rested Users | Lifestyle Risk Users | Socially Isolated Users | High Stress Users,7,0.0018918918918918919
Light / Rested Users | Lifestyle Risk Users | Moderately Social Users | High Stress Users,6,0.0016216216216216215
