row_id,split,daily_social_media_hours,sleep_hours,screen_time_before_sleep,physical_activity,social_interaction_level,academic_performance,usage_intensity_cluster_id,usage_intensity_cluster_name,lifestyle_health_cluster_id,lifestyle_health_cluster_name,social_behavior_cluster_id,social_behavior_cluster_name,stress_pattern_cluster_id,stress_pattern_cluster_name,combined_persona
159,train,7.5,8.0,2.0,0.7,medium,3.25,1,Heavy Daytime Social Media Users,0,Healthy Lifestyle Users,1,Low Activity Moderate Social Users,1,High Stress Users,Heavy Daytime Social Media Users | Healthy Lifestyle Users | Low Activity Moderate Social Users | High Stress Users
1641,train,6.3,4.2,2.9,0.8,low,2.0,2,Heavy Night Social Media Users,1,Lifestyle Risk Users,0,Socially Isolated Users,1,High Stress Users,Heavy Night Social Media Users | Lifestyle Risk Users | Socially Isolated Users | High Stress Users
3215,train,5.8,6.1,1.6,0.8,medium,2.47,1,Heavy Daytime Social Media Users,1,Lifestyle Risk Users,1,Low Activity Moderate Social Users,1,High Stress Users,Heavy Daytime Social Media Users | Lifestyle Risk Users | Low Activity Moderate Social Users | High Stress Users
239,train,6.2,5.1,2.0,1.7,medium,3.82,2,Heavy Night Social Media Users,0,Healthy Lifestyle Users,2,Moderately Social Users,1,High Stress Users,Heavy Night Social Media Users | Healthy Lifestyle Users | Moderately Social Users | High Stress Users
1603,train,6.7,4.9,1.0,0.2,medium,2.08,1,Heavy Daytime Social Media Users,1,Lifestyle Risk Users,1,Low Activity Moderate Social Users,1,High Stress Users,Heavy Daytime Social Media Users | Lifestyle Risk Users | Low Activity Moderate Social Users | High Stress Users
2116,train,3.9,7.4,1.2,1.2,medium,3.51,0,Light / Rested Users,0,Healthy Lifestyle Users,2,Moderately Social Users,0,Low Stress Users,Light / Rested Users | Healthy Lifestyle Users | Moderately Social Users | Low Stress Users
2472,train,7.5,4.7,2.0,1.7,high,2.23,2,Heavy Night Social Media Users,1,Lifestyle Risk Users,1,Low Activity Moderate Social Users,1,High Stress Users,Heavy Night Social Media Users | Lifestyle Risk Users | Low Activity Moderate Social Users | High Stress Users
3213,train,3.7,5.4,2.9,1.3,low,2.48,2,Heavy Night Social Media Users,1,Lifestyle Risk Users,0,Socially Isolated Users,0,Low Stress Users,Heavy Night Social Media Users | Lifestyle Risk Users | Socially Isolated Users | Low Stress Users
964,train,7.5,4.5,2.7,1.0,high,2.41,2,Heavy Night Social Media Users,1,Lifestyle Risk Users,1,Low Activity Moderate Social Users,1,High Stress Users,Heavy Night Social Media Users | Lifestyle Risk Users | Low Activity Moderate Social Users | High Stress Users
2840,train,8.0,5.4,1.1,1.1,low,2.0,1,Heavy Daytime Social Media Users,1,Lifestyle Risk Users,0,Socially Isolated Users,1,High Stress Users,Heavy Daytime Social Media Users | Lifestyle Risk Users | Socially Isolated Users | High Stress Users
596,train,6.9,6.1,2.4,1.1,medium,3.77,2,Heavy Night Social Media Users,0,Healthy Lifestyle Users,1,Low Activity Moderate Social Users,1,High Stress Users,Heavy Night Social Media Users | Healthy Lifestyle Users | Low Activity Moderate Social Users | High Stress Users
