feature,importance
stress_level,0.50052685
academic_performance,0.0840722
sm_sleep_ratio,0.08187826
anxiety_level,0.07558893
sleep_hours,0.04859302
screen_sleep_ratio,0.034789283
daily_social_media_hours,0.024192095
screen_time_before_sleep,0.02144532
physical_activity,0.019879695
social_interaction_level,0.019578343
age,0.0178944
platform_Both,0.017574232
platform_TikTok,0.013440569
platform_Other,0.012502846
platform_Instagram,0.011007028
gender,0.008752621
heavy_sm_user,0.0082842605
low_sleep,0.0
